,recession_indicator,cli_equal,cli_pca,cli_weighted,recession_prob_cli_equal,recession_prob_cli_weighted,recession_prob_multi
2004-06-01,0.0,0.16132475556653,0.1425275870713855,0.160785736945456,0.4414533044250458,0.439795578124035,0.08063877752387068
2004-07-01,0.0,0.0903260317996259,0.4298405876474915,0.2269915093732019,0.45789188859395225,0.4253632496922916,0.0534152328566928
2004-08-01,0.0,0.2001159524267756,-0.0864312050817378,0.212519295906618,0.4325234293108588,0.4285081131275871,0.014108803738434306
2004-09-01,0.0,0.2219271188682168,0.3421303842376225,0.200551660435324,0.42752122759681743,0.43111310356791605,0.044569004066519695
2004-10-01,0.0,-0.1676848729776056,0.5206143443605145,-0.1305199000679279,0.5181392647017999,0.5041851693287422,0.06913658920503381
2004-11-01,0.0,0.0388087583555665,0.1816676714233523,-0.061571609758916,0.4698796295734935,0.48887742234937764,0.046241902595117075
2004-12-01,0.0,-0.208885815112906,1.0644906343984986,-0.0544591939977233,0.5277566119456478,0.4872990377853816,0.1242320364814867
2005-01-01,0.0,0.2721207937903448,-0.4047675591346766,0.2535291892430249,0.416067466789616,0.4196123538889847,0.01273806999691171
2005-02-01,0.0,0.3896794916346338,-0.552238360618207,0.3477207405005883,0.38961331825605283,0.39938595624611634,0.017043602550802547
2005-03-01,0.0,0.5293605250894241,-0.9918830610774512,0.4474580105276141,0.35901596429916155,0.37833783621015216,0.0031867159738085816
2005-04-01,0.0,-0.0427862569779132,0.1589166174195865,0.120006706144493,0.4889320732412501,0.44873763346843903,0.00855947231357437
2005-05-01,0.0,-0.0126366170994627,0.2079275028052772,-0.0363746741123438,0.4818854288158834,0.48328694151723967,0.037641041900375934
2005-06-01,0.0,-0.1221513989215599,0.5391634950926726,-0.1770329954153802,0.5074952293450605,0.5145092309917416,0.0778552880694168
2005-07-01,0.0,0.1951242351505059,-0.085849329286131,0.2417795292790429,0.43367021194914734,0.42215598933553167,0.03855697885794813
2005-08-01,0.0,0.2873606310118495,-0.0938712955044462,0.3571421699483496,0.4126071379392103,0.39738037782559926,0.08339113950754466
2005-09-01,0.0,0.1988334877570782,0.219277668187653,0.2102899426138639,0.43281799051570036,0.4289930798712845,0.17685933284635885
2005-10-01,0.0,-0.1457367997584825,0.7940292038701547,-0.3630382177933207,0.5130100788113906,0.5555842967763828,0.4119991868118422
2005-11-01,0.0,-0.373205967477045,1.286049833126916,-0.5638908677404336,0.5658392983275029,0.5990849678410421,0.5789754614059242
2005-12-01,0.0,-0.091644450476344,0.365184157283559,-0.2807276539995182,0.5003594393960292,0.5374679022033071,0.4490878939866659
2006-01-01,0.0,-0.0804907831613633,0.3151014696875927,-0.0499241795246553,0.4977503280857056,0.4862927593628922,0.6051538113091357
2006-02-01,0.0,0.3788706332049378,-0.9408825930525034,0.1632548058906509,0.3920212132738815,0.43925535185286285,0.08696212097264702
2006-03-01,0.0,0.0709744970686961,-0.5427916239398924,-0.0375293038251514,0.46238990571038546,0.48354304013457605,0.17916518421662483
2006-04-01,0.0,-0.3016829026565199,-1.0273611006373415,-0.4101955163392565,0.549331762468243,0.5659004463592281,0.015071927523724266
2006-05-01,0.0,-0.4215691032040831,-0.1681183028312472,-0.4287760029423954,0.576921590458436,0.5699499999957279,0.10627896113431215
2006-06-01,0.0,-0.3182840563954356,0.3208941695603152,-0.4609711497028628,0.5531743695720192,0.5769444144806585,0.38997940549807236
2006-07-01,0.0,-0.3440232922573701,0.4132943904368542,-0.3488863743612769,0.5591194321514061,0.5524786448168499,0.28938284702696415
2006-08-01,0.0,-0.3244594838100883,0.6042421949246648,-0.3248175624030759,0.5546021780889719,0.5471874049500208,0.18780486578760663
2006-09-01,0.0,-0.4919231817526953,0.7943035806650984,-0.4999463963010023,0.5929029878389197,0.5853704712342619,0.19497738362274922
2006-10-01,0.0,-0.2039571253492494,0.2197281565150332,-0.2495260237173459,0.5266070739578584,0.5305718958368778,0.1501117930287014
2006-11-01,0.0,-0.2308921245191645,0.1449263517430253,-0.0331295053565343,0.5328854708177414,0.4825672056202522,0.13763069942220657
2006-12-01,0.0,-0.05265396279345,-0.4436235502582391,0.0565350578052043,0.49123946902776494,0.46271980949519304,0.03794558320776442
2007-01-01,0.0,0.0729265159865714,-0.8712165650759987,0.1106897100891946,0.4619358937674165,0.45078554476279203,0.05148670414851387
2007-02-01,0.0,0.0697477452708241,-0.6238667115435327,0.3052043523724105,0.4626752627650093,0.40847773054871367,0.025622376375214525
2007-03-01,0.0,0.2063171916279459,-0.48624283058881,0.335095835947551,0.43109978242993224,0.40207875980336955,0.018462724394458573
2007-04-01,0.0,0.1768388959375366,-0.6177783994817535,0.1942295769632682,0.43787701338199264,0.4324907788341106,0.006080610460508724
2007-05-01,0.0,0.2084484493568871,-1.0570013608617612,0.2027667771087295,0.4306107614275998,0.4306306479534547,0.013338794658827108
2007-06-01,0.0,0.2609846623899989,-1.6029018005758002,0.3209456258030808,0.4186012782019778,0.4051039290955439,0.003634926343834839
2007-07-01,0.0,0.4500897602034774,-1.4354224665734396,0.5120567348775702,0.3762574937288565,0.3649404081577121,0.011710444127938665
2007-08-01,0.0,0.448863464043018,-1.659509611934738,0.6085084881838693,0.37652682385757436,0.345325299688426,0.006253199233760052
