,unemployment_rate,housing_starts,consumer_sentiment,industrial_production,recession_indicator,jobless_claims,yield_spread,credit_spread,sp500
1993-08-01,6.8,1300.0,77.3,65.0267,0.0,341000.0,1.6763636363636365,1.9172727272727272,463.55999755859375
1993-09-01,6.7,1343.0,77.9,65.3717,0.0,339000.0,1.512857142857143,1.9819047619047618,458.9299926757813
1993-10-01,6.8,1392.0,82.7,65.8509,0.0,349800.0,1.4594999999999998,1.98,467.8299865722656
1993-11-01,6.6,1376.0,81.2,66.1518,0.0,341000.0,1.5685,1.9364999999999999,461.7900085449219
1993-12-01,6.5,1533.0,88.2,66.5436,0.0,323000.0,1.5618181818181818,1.910909090909091,466.4500122070313
1994-01-01,6.6,1272.0,94.3,66.7351,0.0,359200.0,1.6105,1.8980000000000001,481.6099853515625
1994-02-01,6.6,1337.0,93.2,66.774,0.0,348500.0,1.4989473684210526,1.7905263157894737,467.1400146484375
1994-03-01,6.5,1564.0,91.5,67.4552,0.0,335750.0,1.4873913043478262,1.6465217391304348,445.7699890136719
1994-04-01,6.4,1465.0,92.6,67.8541,0.0,344000.0,1.4226315789473685,1.5505263157894738,450.9100036621094
1994-05-01,6.1,1526.0,92.8,68.1663,0.0,359000.0,1.2152380952380952,1.4404761904761905,456.5
1994-06-01,6.1,1409.0,91.2,68.6265,0.0,340000.0,1.17,1.5463636363636366,444.2699890136719
1994-07-01,6.1,1439.0,89.0,68.7178,0.0,342200.0,1.168,1.5055,458.260009765625
1994-08-01,6.0,1450.0,91.7,69.1785,0.0,336250.0,1.058695652173913,1.5034782608695652,475.489990234375
1994-09-01,5.9,1474.0,91.5,69.3961,0.0,330250.0,1.0647619047619048,1.520952380952381,462.7099914550781
1994-10-01,5.8,1450.0,92.7,69.9544,0.0,333400.0,1.0154999999999998,1.4605000000000001,472.3500061035156
1994-11-01,5.6,1511.0,91.6,70.4326,0.0,328000.0,0.8065,1.3575000000000002,453.6900024414063
1994-12-01,5.5,1455.0,95.1,71.1523,0.0,323200.0,0.22428571428571428,1.2895238095238095,459.2699890136719
1995-01-01,5.6,1407.0,97.6,71.2734,0.0,333500.0,0.2725,1.3025,470.4200134277344
1995-02-01,5.4,1316.0,95.1,71.193,0.0,337750.0,0.35789473684210527,1.3805263157894736,487.3900146484375
1995-03-01,5.4,1249.0,90.3,71.3113,0.0,340250.0,0.42913043478260865,1.4965217391304348,500.7099914550781
1995-04-01,5.8,1267.0,92.5,71.1882,0.0,350200.0,0.4947368421052632,1.5363157894736843,514.7100219726562
1995-05-01,5.6,1314.0,89.8,71.5378,0.0,370250.0,0.46181818181818185,1.5704545454545453,533.4000244140625
1995-06-01,5.6,1281.0,92.7,71.7749,0.0,366250.0,0.4522727272727272,1.7322727272727272,544.75
1995-07-01,5.7,1461.0,94.4,71.4748,0.0,371400.0,0.49799999999999994,1.7605,562.0599975585938
1995-08-01,5.7,1416.0,96.2,72.4223,0.0,356250.0,0.5073913043478261,1.7047826086956521,561.8800048828125
1995-09-01,5.6,1369.0,88.9,72.7144,0.0,362000.0,0.3915,1.737,584.4099731445312
1995-10-01,5.5,1369.0,90.2,72.5866,0.0,371500.0,0.3476190476190476,1.7052380952380954,581.5
1995-11-01,5.6,1452.0,88.2,72.7779,0.0,377000.0,0.45142857142857146,1.7542857142857144,605.3699951171875
1995-12-01,5.6,1431.0,91.0,73.0305,0.0,365000.0,0.387,1.779,615.9299926757812
1996-01-01,5.6,1467.0,89.3,72.6125,0.0,374000.0,0.54,1.8095238095238095,636.02001953125
1996-02-01,5.5,1491.0,88.5,73.6752,0.0,377250.0,0.78,1.8210000000000002,640.4299926757812
1996-03-01,5.5,1424.0,93.7,73.585,0.0,386400.0,0.6076190476190476,1.7676190476190474,645.5
1996-04-01,5.6,1516.0,92.7,74.3172,0.0,359250.0,0.5540909090909091,1.6845454545454546,654.1699829101562
1996-05-01,5.6,1504.0,89.4,74.8726,0.0,344500.0,0.6418181818181817,1.560909090909091,669.1199951171875
1996-06-01,5.3,1467.0,92.4,75.4433,0.0,342200.0,0.615,1.488,670.6300048828125
1996-07-01,5.5,1472.0,94.7,75.4549,0.0,337000.0,0.5954545454545455,1.4877272727272726,639.9500122070312
1996-08-01,5.1,1557.0,95.3,75.8411,0.0,331800.0,0.6063636363636363,1.54,651.989990234375
1996-09-01,5.2,1475.0,94.7,76.3158,0.0,342750.0,0.598,1.5130000000000001,687.3300170898438
1996-10-01,5.2,1392.0,96.5,76.3384,0.0,339000.0,0.620909090909091,1.5354545454545454,705.27001953125
1996-11-01,5.4,1489.0,99.2,77.0397,0.0,336400.0,0.5021052631578947,1.5836842105263158,757.02001953125
1996-12-01,5.4,1370.0,96.9,77.5333,0.0,353500.0,0.5204761904761904,1.5904761904761904,740.739990234375
1997-01-01,5.3,1355.0,97.4,77.6562,0.0,339000.0,0.570952380952381,1.5171428571428571,786.1599731445312
